type1	type2	bin1	bin2	gc_rate	aromaticity	instability	mean_flexibility	hydropathy	length	hca	disord	aggreg	iorfs_gc_rate	gc_species	iorfs_gc_species	gc_seq	inter_gc_species	inter_gc_rate	A_use	C_use	D_use	E_use	F_use	G_use	H_use	I_use	K_use	L_use	M_use	N_use	P_use	Q_use	R_use	S_use	T_use	V_use	W_use	Y_use	polar_use	hydrophobic_use	positive_use	negative_use	proline-glycine_use	alanine_use	cysteine_use
cds	cds	0	1	0.25434	0.42862	0.49319999999999997	0.32599	0.49184000000000005	0.50007	0.33087999999999995	0.34489000000000003	0.42255	0.11011000000000004	0.0	0.0	0.0	0.0	0.014610000000000012	0.26549	0.44233	0.41081	0.49390999999999996	0.43532000000000004	0.25548000000000004	0.44460999999999995	0.04808000000000001	0.06647999999999998	0.403	0.47927	0.29428	0.36168999999999996	0.35522	0.18072999999999995	0.47851999999999995	0.40952	0.26132	0.43615000000000004	0.41747	0.37705	0.30528	0.35375	0.44267999999999996	0.23009000000000002	0.26549	0.44233
cds	iorf	0	0	0.03659000000000001	0.09353999999999996	0.07638	0.0353	0.35319	0.0	0.14590999999999998	0.11600999999999995	0.44097	0.03791	0.5007900000000001	0.49926000000000004	0.05679000000000001	0.50034	0.03998999999999997	0.007469999999999977	0.14842	0.00710999999999995	0.00039000000000000146	0.043930000000000025	0.022719999999999962	0.16424000000000005	0.09757000000000005	0.11724000000000001	0.22697999999999996	0.03078000000000003	0.12607000000000002	0.22877999999999998	0.15495000000000003	0.5017	0.0009000000000000119	0.40041000000000004	0.0029000000000000137	0.14961999999999998	0.34421	7.00000000000145e-05	0.49122	0.50682	0.00014999999999998348	0.24663999999999997	0.007469999999999977	0.14842
cds	iorf	0	1	0.01104000000000005	0.46167	0.009040000000000048	0.29066000000000003	0.13827	0.0	0.0008299999999999974	0.0001100000000000545	0.07140000000000002	0.029449999999999976	0.0	0.0	0.02088000000000001	0.0	0.11582999999999999	0.12527999999999995	0.15261000000000002	0.008660000000000001	0.0009099999999999664	0.21792999999999996	0.39491	0.19787	0.0005100000000000104	0.013449999999999962	0.4123	0.012070000000000025	0.49924	0.010539999999999994	0.13698999999999995	0.025800000000000045	0.0006599999999999939	0.30262	0.005759999999999987	0.32282	0.03434000000000004	0.00024000000000001798	0.008809999999999985	0.26373	0.00036999999999998145	0.05674000000000001	0.12527999999999995	0.15261000000000002
cds	iorf	1	0	0.009689999999999976	0.07108000000000003	0.07931999999999995	0.05388999999999999	0.35729999999999995	0.0	0.21865999999999997	0.13060000000000005	0.40878000000000003	0.00380999999999998	0.0	0.0	0.0	0.0	0.0007200000000000539	0.0017300000000000093	0.14293999999999996	0.0046000000000000485	0.0005100000000000104	0.032379999999999964	0.008909999999999973	0.17652	0.37009000000000003	0.40881999999999996	0.28486999999999996	0.02912999999999999	0.06596000000000002	0.30174	0.13058000000000003	0.27986	0.0007700000000000484	0.46495	0.0007500000000000284	0.14153000000000004	0.39793	9.999999999998899e-05	0.38410999999999995	0.40086999999999995	0.000140000000000029	0.13078	0.0017300000000000093	0.14293999999999996
cds	iorf	1	1	0.0017700000000000493	0.40676	0.009569999999999967	0.37866	0.14180000000000004	0.0	0.0021799999999999597	0.00014999999999998348	0.08499999999999996	0.0017000000000000348	0.47974000000000006	0.48458999999999997	0.0025600000000000067	0.49241999999999997	0.0019799999999999818	0.05218999999999996	0.14592000000000005	0.006310000000000038	0.0010000000000000009	0.17855	0.24999000000000005	0.21567000000000003	0.01151000000000002	0.11502999999999997	0.34441	0.011680000000000024	0.36346	0.01807000000000003	0.11004999999999998	0.10063999999999995	0.0005600000000000049	0.35827	0.0018399999999999528	0.30777	0.04515999999999998	0.00017999999999995797	0.016209999999999947	0.19149000000000005	0.00026999999999999247	0.12575000000000003	0.05218999999999996	0.14592000000000005
denovo	cds	0	0	0.0008099999999999774	0.015610000000000013	0.18903000000000003	0.020649999999999946	0.07289000000000001	0.0	0.13963000000000003	0.031379999999999963	0.01202000000000003	0.0009000000000000119	0.09540000000000004	0.06315000000000004	0.003149999999999986	0.07530000000000003	0.0010900000000000354	0.0006199999999999539	0.11821999999999999	4.0000000000040004e-05	0.003009999999999957	0.27364999999999995	0.013769999999999949	0.009730000000000016	0.30615000000000003	0.043420000000000014	0.11509999999999998	0.0005699999999999594	0.049780000000000046	0.0001100000000000545	0.2842	0.17769000000000001	0.31335999999999997	0.00031000000000003247	0.56501	0.0006000000000000449	0.49544999999999995	9.99999999995449e-06	0.16305000000000003	0.13809000000000005	0.0012999999999999678	0.0033800000000000496	0.0006199999999999539	0.11821999999999999
denovo	cds	0	1	0.00024000000000001798	0.026140000000000052	0.19145	0.02751999999999999	0.07904	0.0	0.26510999999999996	0.05628999999999995	0.010179999999999967	0.00017000000000000348	0.0	0.0	0.0	0.0	7.00000000000145e-05	4.0000000000040004e-05	0.19882999999999995	9.99999999995449e-06	0.003349999999999964	0.33584	0.0046199999999999575	0.006879999999999997	0.022220000000000018	0.29146000000000005	0.16807000000000005	0.0009700000000000264	0.01163000000000003	4.0000000000040004e-05	0.18930000000000002	0.48907999999999996	0.32909	0.0006199999999999539	0.15720999999999996	0.00048000000000003595	0.39949999999999997	0.0	0.09660999999999997	0.21787999999999996	0.0011499999999999844	0.0013300000000000534	4.0000000000040004e-05	0.19882999999999995
denovo	cds	1	0	0.03217000000000003	0.55	0.007419999999999982	0.28859	0.5391	9.99999999995449e-06	0.05683000000000005	0.0041400000000000325	0.048329999999999984	0.06657999999999997	0.0	0.0	0.00014999999999998348	0.0	0.18703000000000003	0.19826	0.27168000000000003	0.0009400000000000519	0.008839999999999959	0.07164000000000004	0.46377	0.03776999999999997	9.99999999995449e-06	0.26178999999999997	0.38595999999999997	0.08692	0.28374	0.11519999999999997	0.34124	0.16108999999999996	0.00495000000000001	0.24372000000000005	0.021680000000000033	0.41315	0.04403999999999997	0.00017999999999995797	0.028200000000000003	0.07294999999999996	0.0027599999999999847	0.08299999999999996	0.19826	0.27168000000000003
denovo	cds	1	1	0.0046199999999999575	0.38508	0.007909999999999973	0.45511	0.5481	4.0000000000040004e-05	0.10809999999999997	0.007449999999999957	0.08220000000000005	0.0041999999999999815	0.29186	0.22224999999999995	0.0045399999999999885	0.20664000000000005	0.00383	0.47933000000000003	0.2521	0.00048000000000003595	0.011859999999999982	0.047719999999999985	0.30308999999999997	0.051039999999999974	0.0009099999999999664	0.33665	0.47048	0.09491000000000005	0.12360000000000004	0.24814999999999998	0.19882999999999995	0.36665000000000003	0.004469999999999974	0.29840999999999995	0.007630000000000026	0.36184000000000005	0.05459000000000003	0.00012999999999996348	0.07952999999999999	0.04200999999999999	0.00268999999999997	0.26907000000000003	0.47933000000000003	0.2521
denovo	denovo	0	1	0.17786000000000002	0.021109999999999962	0.03854000000000002	0.06628999999999996	0.03639000000000003	0.007730000000000015	0.39332	0.30850999999999995	7.00000000000145e-05	0.10385999999999995	0.0	0.0	0.0	0.0	0.03305999999999998	0.00021999999999999797	0.19079000000000002	0.012660000000000005	0.33141	0.008639999999999981	0.0131	0.005179999999999962	7.999999999996898e-05	0.26070000000000004	0.18044000000000004	0.03698000000000001	0.16968000000000005	2.0000000000020002e-05	0.4131	0.41838	0.012750000000000039	0.11926000000000003	0.13644999999999996	0.049409999999999954	0.055810000000000026	0.46886000000000005	0.013390000000000013	0.017140000000000044	0.25358	0.00017999999999995797	0.00021999999999999797	0.19079000000000002
